case_id,expected_status,pattern,bank_transaction_ids,erp_invoice_ids,gateway_transaction_ids,notes
H032,MATCHED,1:1_EXACT_NOISY,B00032,E00032,G00032,Exact settlement with realistic date/reference noise.
H033,MATCHED,1:1_EXACT_NOISY,B00033,E00033,G00033,Exact settlement with realistic date/reference noise.
H034,MATCHED,1:1_EXACT_NOISY,B00034,E00034,G00034,Exact settlement with realistic date/reference noise.
H035,MATCHED,1:1_EXACT_NOISY,B00035,E00035,G00035,Exact settlement with realistic date/reference noise.
H036,MATCHED,1:1_EXACT_NOISY,B00036,E00036,G00036,Exact settlement with realistic date/reference noise.
H037,MATCHED,1:1_EXACT_NOISY,B00037,E00037,G00037,Exact settlement with realistic date/reference noise.
H038,MATCHED,1:1_EXACT_NOISY,B00038,E00038,G00038,Exact settlement with realistic date/reference noise.
H039,MATCHED,1:1_EXACT_NOISY,B00039,E00039,G00039,Exact settlement with realistic date/reference noise.
H040,MATCHED,1:1_EXACT_NOISY,B00040,E00040,G00040,Exact settlement with realistic date/reference noise.
H041,MATCHED,1:1_EXACT_NOISY,B00041,E00041,G00041,Exact settlement with realistic date/reference noise.
H042,MATCHED,1:1_EXACT_NOISY,B00042,E00042,G00042,Exact settlement with realistic date/reference noise.
H043,MATCHED,1:1_EXACT_NOISY,B00043,E00043,G00043,Exact settlement with realistic date/reference noise.
H044,MATCHED,1:1_EXACT_NOISY,B00044,E00044,G00044,Exact settlement with realistic date/reference noise.
H045,MATCHED,1:1_EXACT_NOISY,B00045,E00045,G00045,Exact settlement with realistic date/reference noise.
H046,MATCHED,1:1_EXACT_NOISY,B00046,E00046,G00046,Exact settlement with realistic date/reference noise.
H047,MATCHED,1:1_EXACT_NOISY,B00047,E00047,G00047,Exact settlement with realistic date/reference noise.
H048,MATCHED,1:1_EXACT_NOISY,B00048,E00048,G00048,Exact settlement with realistic date/reference noise.
H049,MATCHED,1:1_EXACT_NOISY,B00049,E00049,G00049,Exact settlement with realistic date/reference noise.
H050,MATCHED,1:1_EXACT_NOISY,B00050,E00050,G00050,Exact settlement with realistic date/reference noise.
H051,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00051,E00051|E00052|E00053|E00054,G00051|G00052|G00053|G00054,Aggregated gateway net after variable fee and GST.
H052,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00052,E00055|E00056|E00057|E00058,G00055|G00056|G00057|G00058,Aggregated gateway net after variable fee and GST.
H053,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00053,E00059|E00060|E00061,G00059|G00060|G00061,Aggregated gateway net after variable fee and GST.
H054,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00054,E00062|E00063,G00062|G00063,Aggregated gateway net after variable fee and GST.
H055,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00055,E00064|E00065|E00066|E00067,G00064|G00065|G00066|G00067,Aggregated gateway net after variable fee and GST.
H056,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00056,E00068|E00069,G00068|G00069,Aggregated gateway net after variable fee and GST.
H057,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00057,E00070|E00071|E00072|E00073,G00070|G00071|G00072|G00073,Aggregated gateway net after variable fee and GST.
H058,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00058,E00074|E00075|E00076,G00074|G00075|G00076,Aggregated gateway net after variable fee and GST.
H059,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00059,E00077|E00078|E00079,G00077|G00078|G00079,Aggregated gateway net after variable fee and GST.
H060,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00060,E00080|E00081|E00082,G00080|G00081|G00082,Aggregated gateway net after variable fee and GST.
H061,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00061,E00083|E00084,G00083|G00084,Aggregated gateway net after variable fee and GST.
H062,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00062,E00085|E00086|E00087|E00088,G00085|G00086|G00087|G00088,Aggregated gateway net after variable fee and GST.
H063,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00063,E00089|E00090|E00091,G00089|G00090|G00091,Aggregated gateway net after variable fee and GST.
H064,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00064,E00092|E00093,G00092|G00093,Aggregated gateway net after variable fee and GST.
H065,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00065,E00094|E00095,G00094|G00095,Aggregated gateway net after variable fee and GST.
H066,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00066,E00096|E00097|E00098,G00096|G00097|G00098,Aggregated gateway net after variable fee and GST.
H067,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00067,E00099|E00100|E00101|E00102,G00099|G00100|G00101|G00102,Aggregated gateway net after variable fee and GST.
H068,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00068,E00103|E00104|E00105|E00106,G00103|G00104|G00105|G00106,Aggregated gateway net after variable fee and GST.
H069,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00069,E00107|E00108|E00109,G00107|G00108|G00109,Aggregated gateway net after variable fee and GST.
H070,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00070,E00110|E00111|E00112|E00113,G00110|G00111|G00112|G00113,Aggregated gateway net after variable fee and GST.
H071,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00071,E00114|E00115|E00116|E00117,G00114|G00115|G00116|G00117,Aggregated gateway net after variable fee and GST.
H072,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00072,E00118|E00119|E00120,G00118|G00119|G00120,Aggregated gateway net after variable fee and GST.
H073,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00073,E00121|E00122|E00123|E00124,G00121|G00122|G00123|G00124,Aggregated gateway net after variable fee and GST.
H074,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00074,E00125|E00126|E00127|E00128,G00125|G00126|G00127|G00128,Aggregated gateway net after variable fee and GST.
H075,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00075,E00129|E00130|E00131,G00129|G00130|G00131,Aggregated gateway net after variable fee and GST.
H076,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00076,E00132|E00133|E00134,G00132|G00133|G00134,Aggregated gateway net after variable fee and GST.
H077,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00077,E00135|E00136,G00135|G00136,Aggregated gateway net after variable fee and GST.
H078,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00078,E00137|E00138,G00137|G00138,Aggregated gateway net after variable fee and GST.
H079,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00079,E00139|E00140|E00141,G00139|G00140|G00141,Aggregated gateway net after variable fee and GST.
H080,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00080,E00142|E00143,G00142|G00143,Aggregated gateway net after variable fee and GST.
H081,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00081,E00144|E00145,G00144|G00145,Aggregated gateway net after variable fee and GST.
H082,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00082,E00146|E00147|E00148,G00146|G00147|G00148,Aggregated gateway net after variable fee and GST.
H083,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00083,E00149|E00150|E00151|E00152,G00149|G00150|G00151|G00152,Aggregated gateway net after variable fee and GST.
H084,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00084,E00153|E00154|E00155|E00156,G00153|G00154|G00155|G00156,Aggregated gateway net after variable fee and GST.
H085,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00085,E00157|E00158,G00157|G00158,Aggregated gateway net after variable fee and GST.
H086,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00086,E00159|E00160|E00161|E00162,G00159|G00160|G00161|G00162,Aggregated gateway net after variable fee and GST.
H087,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00087,E00163|E00164|E00165,G00163|G00164|G00165,Aggregated gateway net after variable fee and GST.
H088,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00088,E00166|E00167|E00168|E00169,G00166|G00167|G00168|G00169,Aggregated gateway net after variable fee and GST.
H089,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00089,E00170|E00171,G00170|G00171,Aggregated gateway net after variable fee and GST.
H090,MATCHED,1:N_NET_OF_VARIABLE_FEES,B00090,E00172|E00173|E00174|E00175,G00172|G00173|G00174|G00175,Aggregated gateway net after variable fee and GST.
H091,MATCHED,N:M_CROSS_PARTITION,B00091|B00092|B00093,E00176|E00177|E00178|E00179,G00176|G00177|G00178|G00179,Different partitions of same total across Bank and ERP.
H092,MATCHED,N:M_CROSS_PARTITION,B00094|B00095|B00096,E00180|E00181|E00182|E00183,G00180|G00181|G00182|G00183,Different partitions of same total across Bank and ERP.
H093,MATCHED,N:M_CROSS_PARTITION,B00097|B00098|B00099|B00100,E00184|E00185|E00186,G00184|G00185|G00186,Different partitions of same total across Bank and ERP.
H094,MATCHED,N:M_CROSS_PARTITION,B00101|B00102|B00103,E00187|E00188|E00189|E00190|E00191,G00187|G00188|G00189|G00190|G00191,Different partitions of same total across Bank and ERP.
H095,MATCHED,N:M_CROSS_PARTITION,B00104|B00105,E00192|E00193|E00194,G00192|G00193|G00194,Different partitions of same total across Bank and ERP.
H096,MATCHED,N:M_CROSS_PARTITION,B00106|B00107,E00195|E00196,G00195|G00196,Different partitions of same total across Bank and ERP.
H097,MATCHED,N:M_CROSS_PARTITION,B00108|B00109|B00110,E00197|E00198,G00197|G00198,Different partitions of same total across Bank and ERP.
H098,MATCHED,N:M_CROSS_PARTITION,B00111|B00112|B00113|B00114,E00199|E00200,G00199|G00200,Different partitions of same total across Bank and ERP.
H099,MATCHED,N:M_CROSS_PARTITION,B00115|B00116|B00117|B00118,E00201|E00202|E00203,G00201|G00202|G00203,Different partitions of same total across Bank and ERP.
H100,MATCHED,N:M_CROSS_PARTITION,B00119|B00120|B00121,E00204|E00205|E00206,G00204|G00205|G00206,Different partitions of same total across Bank and ERP.
H101,MATCHED,N:M_CROSS_PARTITION,B00122|B00123|B00124|B00125,E00207|E00208|E00209|E00210,G00207|G00208|G00209|G00210,Different partitions of same total across Bank and ERP.
H102,MATCHED,N:M_CROSS_PARTITION,B00126|B00127,E00211|E00212,G00211|G00212,Different partitions of same total across Bank and ERP.
H103,MATCHED,N:M_CROSS_PARTITION,B00128|B00129|B00130|B00131,E00213|E00214,G00213|G00214,Different partitions of same total across Bank and ERP.
H104,MATCHED,N:M_CROSS_PARTITION,B00132|B00133|B00134,E00215|E00216|E00217,G00215|G00216|G00217,Different partitions of same total across Bank and ERP.
H105,MATCHED,N:M_CROSS_PARTITION,B00135|B00136|B00137|B00138|B00139,E00218|E00219|E00220|E00221,G00218|G00219|G00220|G00221,Different partitions of same total across Bank and ERP.
H106,MATCHED,N:M_CROSS_PARTITION,B00140|B00141,E00222|E00223|E00224|E00225,G00222|G00223|G00224|G00225,Different partitions of same total across Bank and ERP.
H107,MATCHED,N:M_CROSS_PARTITION,B00142|B00143|B00144|B00145|B00146,E00226|E00227|E00228|E00229,G00226|G00227|G00228|G00229,Different partitions of same total across Bank and ERP.
H108,MATCHED,N:M_CROSS_PARTITION,B00147|B00148,E00230|E00231,G00230|G00231,Different partitions of same total across Bank and ERP.
H109,MATCHED,N:M_CROSS_PARTITION,B00149|B00150|B00151,E00232|E00233|E00234|E00235,G00232|G00233|G00234|G00235,Different partitions of same total across Bank and ERP.
H110,MATCHED,N:M_CROSS_PARTITION,B00152|B00153|B00154|B00155,E00236|E00237,G00236|G00237,Different partitions of same total across Bank and ERP.
H111,MATCHED,N:M_CROSS_PARTITION,B00156|B00157|B00158|B00159|B00160,E00238|E00239|E00240|E00241|E00242,G00238|G00239|G00240|G00241|G00242,Different partitions of same total across Bank and ERP.
H112,MATCHED,N:M_CROSS_PARTITION,B00161|B00162|B00163|B00164,E00243|E00244,G00243|G00244,Different partitions of same total across Bank and ERP.
H113,MATCHED,N:M_CROSS_PARTITION,B00165|B00166,E00245|E00246,G00245|G00246,Different partitions of same total across Bank and ERP.
H114,MATCHED,N:M_CROSS_PARTITION,B00167|B00168|B00169|B00170,E00247|E00248|E00249|E00250,G00247|G00248|G00249|G00250,Different partitions of same total across Bank and ERP.
H115,MATCHED,N:M_CROSS_PARTITION,B00171|B00172|B00173,E00251|E00252|E00253|E00254,G00251|G00252|G00253|G00254,Different partitions of same total across Bank and ERP.
H116,MATCHED,N:M_CROSS_PARTITION,B00174|B00175|B00176|B00177,E00255|E00256|E00257|E00258|E00259,G00255|G00256|G00257|G00258|G00259,Different partitions of same total across Bank and ERP.
H117,MATCHED,N:M_CROSS_PARTITION,B00178|B00179,E00260|E00261,G00260|G00261,Different partitions of same total across Bank and ERP.
H118,MATCHED,N:M_CROSS_PARTITION,B00180|B00181|B00182|B00183,E00262|E00263|E00264|E00265,G00262|G00263|G00264|G00265,Different partitions of same total across Bank and ERP.
H119,MATCHED,N:M_CROSS_PARTITION,B00184|B00185,E00266|E00267,G00266|G00267,Different partitions of same total across Bank and ERP.
H120,MATCHED,N:M_CROSS_PARTITION,B00186|B00187|B00188,E00268|E00269|E00270|E00271|E00272,G00268|G00269|G00270|G00271|G00272,Different partitions of same total across Bank and ERP.
H121,MATCHED,N:M_CROSS_PARTITION,B00189|B00190|B00191|B00192|B00193,E00273|E00274|E00275,G00273|G00274|G00275,Different partitions of same total across Bank and ERP.
H122,MATCHED,N:M_CROSS_PARTITION,B00194|B00195|B00196|B00197|B00198,E00276|E00277|E00278,G00276|G00277|G00278,Different partitions of same total across Bank and ERP.
H123,MATCHED,N:M_CROSS_PARTITION,B00199|B00200,E00279|E00280|E00281|E00282|E00283,G00279|G00280|G00281|G00282|G00283,Different partitions of same total across Bank and ERP.
H124,MATCHED,N:M_CROSS_PARTITION,B00201|B00202|B00203|B00204,E00284|E00285|E00286,G00284|G00285|G00286,Different partitions of same total across Bank and ERP.
H125,MATCHED,N:M_CROSS_PARTITION,B00205|B00206|B00207,E00287|E00288|E00289|E00290|E00291,G00287|G00288|G00289|G00290|G00291,Different partitions of same total across Bank and ERP.
H126,MATCHED,PARTIAL_PAYMENT,B00208|B00209,E00292,G00292|G00293,Partial payment total 36713; invoice residual remains.
H127,MATCHED,PARTIAL_PAYMENT,B00210|B00211,E00293,G00294|G00295,Partial payment total 56486; invoice residual remains.
H128,MATCHED,PARTIAL_PAYMENT,B00212|B00213|B00214,E00294,G00296|G00297|G00298,Partial payment total 33835; invoice residual remains.
H129,MATCHED,PARTIAL_PAYMENT,B00215|B00216|B00217,E00295,G00299|G00300|G00301,Partial payment total 28744; invoice residual remains.
H130,MATCHED,PARTIAL_PAYMENT,B00218|B00219,E00296,G00302|G00303,Partial payment total 72535; invoice residual remains.
H131,MATCHED,PARTIAL_PAYMENT,B00220|B00221|B00222,E00297,G00304|G00305|G00306,Partial payment total 60961; invoice residual remains.
H132,MATCHED,PARTIAL_PAYMENT,B00223|B00224|B00225,E00298,G00307|G00308|G00309,Partial payment total 24487; invoice residual remains.
H133,MATCHED,PARTIAL_PAYMENT,B00226|B00227,E00299,G00310|G00311,Partial payment total 35274; invoice residual remains.
H134,MATCHED,PARTIAL_PAYMENT,B00228,E00300,G00312,Partial payment total 59579; invoice residual remains.
H135,MATCHED,PARTIAL_PAYMENT,B00229|B00230,E00301,G00313|G00314,Partial payment total 60315; invoice residual remains.
H136,MATCHED,PARTIAL_PAYMENT,B00231|B00232,E00302,G00315|G00316,Partial payment total 69076; invoice residual remains.
H137,MATCHED,PARTIAL_PAYMENT,B00233|B00234|B00235,E00303,G00317|G00318|G00319,Partial payment total 34936; invoice residual remains.
H138,MATCHED,PARTIAL_PAYMENT,B00236,E00304,G00320,Partial payment total 27949; invoice residual remains.
H139,MATCHED,PARTIAL_PAYMENT,B00237,E00305,G00321,Partial payment total 17606; invoice residual remains.
H140,MATCHED,PARTIAL_PAYMENT,B00238|B00239,E00306,G00322|G00323,Partial payment total 63225; invoice residual remains.
H141,MATCHED,PARTIAL_PAYMENT,B00240|B00241,E00307,G00324|G00325,Partial payment total 18285; invoice residual remains.
H142,MATCHED,PARTIAL_PAYMENT,B00242|B00243,E00308,G00326|G00327,Partial payment total 66241; invoice residual remains.
H143,MATCHED,PARTIAL_PAYMENT,B00244,E00309,G00328,Partial payment total 10845; invoice residual remains.
H144,MATCHED,PARTIAL_PAYMENT,B00245|B00246|B00247,E00310,G00329|G00330|G00331,Partial payment total 55096; invoice residual remains.
H145,MATCHED,PARTIAL_PAYMENT,B00248|B00249|B00250,E00311,G00332|G00333|G00334,Partial payment total 63904; invoice residual remains.
H146,MATCHED,PARTIAL_PAYMENT,B00251|B00252,E00312,G00335|G00336,Partial payment total 17272; invoice residual remains.
H147,MATCHED,PARTIAL_PAYMENT,B00253,E00313,G00337,Partial payment total 21448; invoice residual remains.
H148,MATCHED,PARTIAL_PAYMENT,B00254|B00255,E00314,G00338|G00339,Partial payment total 17414; invoice residual remains.
H149,MATCHED,PARTIAL_PAYMENT,B00256,E00315,G00340,Partial payment total 47469; invoice residual remains.
H150,MATCHED,PARTIAL_PAYMENT,B00257|B00258,E00316,G00341|G00342,Partial payment total 30445; invoice residual remains.
H151,MATCHED,PARTIAL_PAYMENT,B00259|B00260|B00261,E00317,G00343|G00344|G00345,Partial payment total 45822; invoice residual remains.
H152,MATCHED,PARTIAL_PAYMENT,B00262|B00263|B00264,E00318,G00346|G00347|G00348,Partial payment total 30607; invoice residual remains.
H153,MATCHED,PARTIAL_PAYMENT,B00265|B00266,E00319,G00349|G00350,Partial payment total 56505; invoice residual remains.
H154,MATCHED,PARTIAL_PAYMENT,B00267|B00268|B00269,E00320,G00351|G00352|G00353,Partial payment total 31664; invoice residual remains.
H155,MATCHED,PARTIAL_PAYMENT,B00270|B00271,E00321,G00354|G00355,Partial payment total 15013; invoice residual remains.
H156,MATCHED,REFUND_REVERSAL_CHAIN,B00272,E00322,G00356|G00357,Charge plus refund/reversal events must be netted.
H157,MATCHED,REFUND_REVERSAL_CHAIN,B00273,E00323,G00358|G00359,Charge plus refund/reversal events must be netted.
H158,MATCHED,REFUND_REVERSAL_CHAIN,B00274,E00324,G00360|G00361,Charge plus refund/reversal events must be netted.
H159,MATCHED,REFUND_REVERSAL_CHAIN,B00275,E00325,G00362|G00363,Charge plus refund/reversal events must be netted.
H160,MATCHED,REFUND_REVERSAL_CHAIN,B00276,E00326,G00364|G00365,Charge plus refund/reversal events must be netted.
H161,MATCHED,REFUND_REVERSAL_CHAIN,B00277,E00327,G00366|G00367,Charge plus refund/reversal events must be netted.
H162,MATCHED,REFUND_REVERSAL_CHAIN,B00278,E00328,G00368|G00369,Charge plus refund/reversal events must be netted.
H163,MATCHED,REFUND_REVERSAL_CHAIN,B00279,E00329,G00370|G00371,Charge plus refund/reversal events must be netted.
H164,MATCHED,REFUND_REVERSAL_CHAIN,B00280,E00330,G00372|G00373,Charge plus refund/reversal events must be netted.
H165,MATCHED,REFUND_REVERSAL_CHAIN,B00281,E00331,G00374|G00375,Charge plus refund/reversal events must be netted.
H166,MATCHED,REFUND_REVERSAL_CHAIN,B00282,E00332,G00376|G00377,Charge plus refund/reversal events must be netted.
H167,MATCHED,REFUND_REVERSAL_CHAIN,B00283,E00333,G00378|G00379,Charge plus refund/reversal events must be netted.
H168,MATCHED,REFUND_REVERSAL_CHAIN,B00284,E00334,G00380|G00381,Charge plus refund/reversal events must be netted.
H169,MATCHED,REFUND_REVERSAL_CHAIN,B00285,E00335,G00382|G00383,Charge plus refund/reversal events must be netted.
H170,MATCHED,REFUND_REVERSAL_CHAIN,B00286,E00336,G00384|G00385,Charge plus refund/reversal events must be netted.
H171,MATCHED,REFUND_REVERSAL_CHAIN,B00287,E00337,G00386|G00387,Charge plus refund/reversal events must be netted.
H172,MATCHED,REFUND_REVERSAL_CHAIN,B00288,E00338,G00388|G00389,Charge plus refund/reversal events must be netted.
H173,MATCHED,REFUND_REVERSAL_CHAIN,B00289,E00339,G00390|G00391,Charge plus refund/reversal events must be netted.
H174,MATCHED,REFUND_REVERSAL_CHAIN,B00290,E00340,G00392|G00393,Charge plus refund/reversal events must be netted.
H175,MATCHED,REFUND_REVERSAL_CHAIN,B00291,E00341,G00394|G00395,Charge plus refund/reversal events must be netted.
H176,MATCHED,REFUND_REVERSAL_CHAIN,B00292,E00342,G00396|G00397,Charge plus refund/reversal events must be netted.
H177,MATCHED,REFUND_REVERSAL_CHAIN,B00293,E00343,G00398|G00399,Charge plus refund/reversal events must be netted.
H178,MATCHED,REFUND_REVERSAL_CHAIN,B00294,E00344,G00400|G00401,Charge plus refund/reversal events must be netted.
H179,MATCHED,REFUND_REVERSAL_CHAIN,B00295,E00345,G00402|G00403,Charge plus refund/reversal events must be netted.
H180,MATCHED,REFUND_REVERSAL_CHAIN,B00296,E00346,G00404|G00405,Charge plus refund/reversal events must be netted.
H181,MATCHED,REFUND_REVERSAL_CHAIN,B00297,E00347,G00406|G00407,Charge plus refund/reversal events must be netted.
H182,MATCHED,REFUND_REVERSAL_CHAIN,B00298,E00348,G00408|G00409,Charge plus refund/reversal events must be netted.
H183,MATCHED,REFUND_REVERSAL_CHAIN,B00299,E00349,G00410|G00411,Charge plus refund/reversal events must be netted.
H184,MATCHED,REFUND_REVERSAL_CHAIN,B00300,E00350,G00412|G00413,Charge plus refund/reversal events must be netted.
H185,MATCHED,REFUND_REVERSAL_CHAIN,B00301,E00351,G00414|G00415,Charge plus refund/reversal events must be netted.
H186,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00302|B00303,E00352|E00353,G00416|G00417,Identical amounts require entity/reference disambiguation.
H187,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00304|B00305,E00354|E00355,G00418|G00419,Identical amounts require entity/reference disambiguation.
H188,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00306|B00307,E00356|E00357,G00420|G00421,Identical amounts require entity/reference disambiguation.
H189,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00308|B00309,E00358|E00359,G00422|G00423,Identical amounts require entity/reference disambiguation.
H190,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00310|B00311,E00360|E00361,G00424|G00425,Identical amounts require entity/reference disambiguation.
H191,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00312|B00313,E00362|E00363,G00426|G00427,Identical amounts require entity/reference disambiguation.
H192,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00314|B00315,E00364|E00365,G00428|G00429,Identical amounts require entity/reference disambiguation.
H193,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00316|B00317,E00366|E00367,G00430|G00431,Identical amounts require entity/reference disambiguation.
H194,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00318|B00319,E00368|E00369,G00432|G00433,Identical amounts require entity/reference disambiguation.
H195,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00320|B00321,E00370|E00371,G00434|G00435,Identical amounts require entity/reference disambiguation.
H196,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00322|B00323,E00372|E00373,G00436|G00437,Identical amounts require entity/reference disambiguation.
H197,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00324|B00325,E00374|E00375,G00438|G00439,Identical amounts require entity/reference disambiguation.
H198,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00326|B00327,E00376|E00377,G00440|G00441,Identical amounts require entity/reference disambiguation.
H199,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00328|B00329,E00378|E00379,G00442|G00443,Identical amounts require entity/reference disambiguation.
H200,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00330|B00331,E00380|E00381,G00444|G00445,Identical amounts require entity/reference disambiguation.
H201,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00332|B00333,E00382|E00383,G00446|G00447,Identical amounts require entity/reference disambiguation.
H202,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00334|B00335,E00384|E00385,G00448|G00449,Identical amounts require entity/reference disambiguation.
H203,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00336|B00337,E00386|E00387,G00450|G00451,Identical amounts require entity/reference disambiguation.
H204,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00338|B00339,E00388|E00389,G00452|G00453,Identical amounts require entity/reference disambiguation.
H205,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00340|B00341,E00390|E00391,G00454|G00455,Identical amounts require entity/reference disambiguation.
H206,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00342|B00343,E00392|E00393,G00456|G00457,Identical amounts require entity/reference disambiguation.
